"Name","Team","K%","BB%","SwStr%","playerid"
"Kirby Yates","Padres","41.6 %","5.4 %","15.7 %","9073"
"Jacob Webb","Braves","21.4 %","9.2 %","13.1 %","19274"
"Will Harris","Astros","27.1 %","6.1 %","12.2 %","3192"
"Felipe Vazquez","Pirates","38.1 %","5.5 %","14.3 %","12076"
"Tyler Glasnow","Rays","33.0 %","6.1 %","12.0 %","14374"
"Liam Hendriks","Athletics","37.4 %","6.3 %","17.2 %","3548"
"Ken Giles","Blue Jays","39.9 %","8.2 %","18.8 %","12910"
"Brandon Workman","Red Sox","36.4 %","15.7 %","12.8 %","11428"
"Adam Ottavino","Yankees","31.1 %","14.1 %","11.3 %","1247"
"Zack Britton","Yankees","21.6 %","13.1 %","10.7 %","3240"
"Aaron Bummer","White Sox","22.9 %","9.2 %","10.7 %","16258"
"Casey Sadler","- - -","16.0 %","6.7 %","9.2 %","11209"
"Aroldis Chapman","Yankees","36.2 %","10.6 %","14.1 %","10233"
"Scott Oberg","Rockies","26.0 %","10.3 %","12.3 %","13911"
"Shane Greene","- - -","25.4 %","6.8 %","11.5 %","10756"
"Giovanny Gallegos","Cardinals","33.3 %","5.7 %","16.4 %","14986"
"Emilio Pagan","Rays","36.0 %","4.9 %","17.7 %","14771"
"Hyun-Jin Ryu","Dodgers","22.5 %","3.3 %","11.4 %","14444"
"Ryan Pressly","Astros","34.1 %","5.7 %","17.7 %","7005"
"Aaron Civale","Indians","20.3 %","7.1 %","8.8 %","19479"
"Jacob deGrom","Mets","31.7 %","5.5 %","15.4 %","10954"
"Rowan Wick","Cubs","25.0 %","11.4 %","11.6 %","14646"
"Rich Hill","Dodgers","29.8 %","7.4 %","10.8 %","4806"
"Daniel Hudson","- - -","23.4 %","8.9 %","9.9 %","7146"
"Hansel Robles","Angels","26.5 %","5.7 %","12.3 %","11801"
"Julio Urias","Dodgers","26.1 %","8.3 %","13.8 %","14765"
"Evan Marshall","White Sox","19.6 %","11.5 %","11.4 %","12297"
"Tyler Duffey","Twins","34.5 %","5.9 %","15.4 %","13758"
"Gerrit Cole","Astros","39.9 %","5.9 %","16.8 %","13125"
"Justin Wilson","Mets","26.5 %","11.5 %","11.9 %","4301"
"Justin Verlander","Astros","35.4 %","5.0 %","16.1 %","8700"
"Taylor Rogers","Twins","32.4 %","4.0 %","11.0 %","13449"
