"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score"
"1",112526,"Bartolo Colon",2015,2703,0.06474,0.08813,-0.0222325924403513,850,0.38235,0.29204,0.0670151855095107,1469,0.62015,0.65695,-0.0353128500475434,0.0800954431167029
"2",112526,"Bartolo Colon",2016,2792,0.05516,0.08577,-0.0302929036192982,990,0.34343,0.28844,0.0420502628072221,1475,0.62237,0.67487,-0.0497581365954725,0.0615154957833964
"3",112526,"Bartolo Colon",2017,2252,0.05373,0.09115,-0.0378991976284217,725,0.3269,0.31695,0.0135622680000916,1128,0.6445,0.65594,-0.0186488750462585,-0.00568805458207162
"4",112526,"Bartolo Colon",2018,2228,0.05341,0.08958,-0.0332925771570797,728,0.36126,0.31084,0.0562018906473275,1111,0.62376,0.64866,-0.0300335006781568,0.0529428141684047
"5",115629,"LaTroy Hawkins",2015,556,0.08094,0.09129,-0.0090297477177939,166,0.31928,0.27072,0.0195164518773355,304,0.70395,0.6622,0.0199984190770475,-0.00951171491750594
"6",150116,"Randy Wolf",2015,624,0.07212,0.09396,-0.0159862918189007,285,0.2807,0.2651,0.000126579707493621,283,0.68198,0.62017,0.0425875236782784,-0.0584472357896855
"7",150302,"Jason Marquis",2015,783,0.09451,0.09586,-0.00140508053216802,255,0.2902,0.28502,0.0000509890824058642,339,0.66077,0.63312,0.00868516445801725,-0.0100392559077794
"8",150359,"A.J. Burnett",2015,2499,0.08844,0.10923,-0.0207952086999665,532,0.2218,0.29744,-0.0749110383016192,1205,0.63154,0.64665,-0.0232180345073631,-0.0724882124942226
"9",217096,"Barry Zito",2015,150,0.08,0.09701,-0.00246672382136021,70,0.24286,0.25546,-0.0254068216387116,59,0.52542,0.59819,-0.0151539963952048,-0.0127195490648671
"10",218596,"Tim Hudson",2015,1851,0.08374,0.08272,0.000393569323981321,481,0.23701,0.2733,-0.0442634571807659,916,0.66157,0.64071,0.0130588641691639,-0.0569287520259484
"11",276351,"Jason Grilli",2015,591,0.14552,0.11478,0.027178555346162,213,0.32864,0.29802,0.00746601785742508,298,0.68456,0.67625,-0.000677787987536165,0.0353223611911232
"12",276351,"Jason Grilli",2016,1072,0.13433,0.12009,0.0115705052753032,355,0.28451,0.26568,0.0135399685846673,498,0.64257,0.67605,-0.0268782781853793,0.0519887520453498
