"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score","command"
"1",112526,"Bartolo Colon",2015,2703,0.06474,0.0883,-0.0222575437870168,850,0.38235,0.29196,0.0676781140299271,1469,0.62015,0.65707,-0.0354405568633244,0.0808611271062346,2.835
"2",112526,"Bartolo Colon",2016,2792,0.05516,0.08593,-0.0302503752108922,990,0.34343,0.28846,0.042157936348158,1475,0.62237,0.67498,-0.0499040162581713,0.0618115773954372,2.773
"3",112526,"Bartolo Colon",2017,2261,0.05352,0.09124,-0.0381214277650104,730,0.32466,0.3163,0.0127508673384087,1131,0.64456,0.65626,-0.0188998472692764,-0.00647071315732532,2.948
"4",112526,"Bartolo Colon",2018,2228,0.05341,0.08971,-0.0332627071306068,728,0.36126,0.31094,0.056725071901074,1111,0.62376,0.64879,-0.0303491059345972,0.0538114707050643,2.926
"5",150359,"A.J. Burnett",2015,2547,0.08755,0.10883,-0.021129900043555,537,0.21974,0.29603,-0.0748299558979008,1229,0.62815,0.64693,-0.025309317712654,-0.0706505382288019,3.06
"6",218596,"Tim Hudson",2015,2003,0.08138,0.08295,-0.00220789111443866,525,0.23238,0.27303,-0.0501428568750959,981,0.66259,0.64437,0.0103692113171891,-0.0627199593067236,2.739
"7",276351,"Jason Grilli",2016,1086,0.13352,0.11996,0.0110828571249118,359,0.28691,0.26625,0.0147391204317761,505,0.64356,0.67546,-0.0262613232742974,0.0520833008309853,3.02
"8",276520,"Bronson Arroyo",2017,1147,0.07672,0.09153,-0.0219423427138718,360,0.27778,0.2612,0.0159367898067128,581,0.70052,0.61187,0.0561723641298325,-0.0621779170369915,2.83
"9",279824,"Mark Buehrle",2015,2878,0.05212,0.09647,-0.0421688800628519,1087,0.27599,0.27834,-0.0225376723973193,1410,0.66738,0.6454,0.0129841685977767,-0.0776907210579479,2.884
"10",282332,"CC Sabathia",2015,2818,0.09155,0.10381,-0.00885358548781394,995,0.29648,0.29158,-0.0133724087975229,1365,0.61245,0.62779,-0.0146407296507783,-0.00758526463455855,3.026
"11",282332,"CC Sabathia",2016,2961,0.1003,0.09392,0.0064480861532194,1134,0.30159,0.25828,0.0309005573162014,1410,0.62199,0.64252,-0.0148816205082393,0.05223026397766,2.795
"12",282332,"CC Sabathia",2017,2245,0.08864,0.10861,-0.0205423030823599,886,0.28104,0.29954,-0.0246630688722299,1045,0.66124,0.64521,0.00473698521038904,-0.0499423571649789,3.072
"13",282332,"CC Sabathia",2018,2492,0.10674,0.1181,-0.0118739907901379,985,0.31574,0.30019,0.0152378021869056,1193,0.65381,0.6601,-0.0231439031025803,0.026507714499348,3.142
"14",282332,"CC Sabathia",2019,1674,0.11589,0.11691,-0.00311343714832567,681,0.25844,0.28844,-0.0121045030546797,770,0.68052,0.64953,0.0142516872285405,-0.0294696274315459,3.107
"15",285064,"Ryan Vogelsong",2015,2332,0.06647,0.09814,-0.0346584099127243,761,0.3088,0.28766,0.000203265812060819,1076,0.62825,0.63887,-0.0178127445078992,-0.0166423995927643,2.942
"16",285064,"Ryan Vogelsong",2016,1337,0.06358,0.10388,-0.0397815947605724,491,0.2831,0.29462,-0.00906252670474966,554,0.62635,0.63045,-0.0117426431980633,-0.0371014782672587,3.033
"17",285079,"R.A. Dickey",2015,3269,0.09055,0.10436,-0.00747119880617354,1005,0.28159,0.20429,0.0664163276587327,1744,0.67603,0.5704,0.097425524649897,-0.0384803957973378,2.82
"18",285079,"R.A. Dickey",2016,2708,0.10561,0.107,0.000370648749316369,755,0.29139,0.20472,0.0638390641629806,1438,0.66551,0.57083,0.0862365442181261,-0.0220268313058292,2.846
"19",285079,"R.A. Dickey",2017,2789,0.08892,0.11072,-0.0213819926574527,774,0.27778,0.24602,0.0360687633747727,1470,0.65374,0.58972,0.0473550531295352,-0.0326682824122152,2.994
"20",346798,"Kyle Lohse",2015,2572,0.09098,0.10968,-0.0167989320418793,800,0.28375,0.2907,-0.0102662240994697,1161,0.6503,0.63121,0.00780777613952317,-0.0348729322808722,3.074
"21",407793,"John Lackey",2015,3143,0.0945,0.08136,0.011848555358968,778,0.26735,0.27625,-0.0187953914323804,1690,0.67515,0.64072,0.0232308668552774,-0.0301777029286898,2.74
"22",407793,"John Lackey",2016,2778,0.11483,0.09092,0.0207730926211762,713,0.31557,0.31151,0.00162901483905322,1381,0.66401,0.63718,0.0181498762480962,0.00425223121213322,2.957
"23",407793,"John Lackey",2017,2692,0.10364,0.08336,0.017777869518125,728,0.26511,0.30328,-0.0224950559212364,1326,0.66139,0.63996,0.0121531315433437,-0.016870317946455,2.853
"24",407822,"Jorge De La Rosa",2015,2455,0.11813,0.10541,0.00925806420546527,1091,0.32172,0.25784,0.0403948304963344,1082,0.66636,0.66512,-0.00590013988233176,0.0555530345841314,2.869
"25",407822,"Jorge De La Rosa",2016,2329,0.10434,0.10618,-0.000952305666899212,953,0.26023,0.2404,-0.00119335794469603,1081,0.65032,0.65852,-0.00736632247333807,0.00522065886174283,2.826
"26",407845,"Fernando Rodney",2015,1186,0.09949,0.10171,0.000303367392516607,418,0.30861,0.26147,0.0263319815157112,569,0.57821,0.68623,-0.0851964603653805,0.111831809273608,2.814
"27",407845,"Fernando Rodney",2016,1160,0.12759,0.10274,0.0248392310551794,424,0.38208,0.30447,0.0557126441119337,521,0.59693,0.67467,-0.0622457960972115,0.142797671264325,2.988
"28",407845,"Fernando Rodney",2018,1246,0.11236,0.09397,0.0155334714404613,465,0.31828,0.29925,0.0217015096478057,581,0.62651,0.67913,-0.0485498293243744,0.0857848104126414,2.88
"29",407890,"Colby Lewis",2015,3161,0.0832,0.10674,-0.0174776225754818,883,0.25708,0.25983,-0.00602047234534985,1557,0.64997,0.63895,0.00916192165108391,-0.0326600165719155,2.928
"30",407890,"Colby Lewis",2016,1750,0.08057,0.10707,-0.0219679373918049,497,0.23139,0.2772,-0.0373291767702685,872,0.63532,0.63509,-0.0052808935702937,-0.0540162205917797,2.997
"31",408241,"Jake Peavy",2015,1825,0.08274,0.09075,-0.00906682350235295,559,0.26655,0.28993,-0.033778095068757,921,0.68187,0.66694,0.0057706540967322,-0.0486155726678422,2.836
"32",408241,"Jake Peavy",2016,2020,0.10495,0.09717,0.00694984471086136,581,0.26162,0.28415,-0.0254328253545927,996,0.68273,0.66377,0.0167952907306847,-0.0352782713744161,2.882
"33",421685,"Aaron Harang",2015,2903,0.07303,0.1026,-0.0273432002915491,863,0.31054,0.29466,0.00202473794985752,1430,0.67832,0.64967,0.0240838736533593,-0.0494023359950509,2.992
"34",425386,"Jeremy Guthrie",2015,2564,0.06201,0.10604,-0.0358721139500773,777,0.32304,0.3136,-0.00105546808879576,1313,0.65423,0.65614,-0.00238079762421778,-0.0345467844146552,3.079
"35",425532,"Jerome Williams",2015,1989,0.08748,0.09145,-0.00300590792276838,654,0.35627,0.31834,0.0193519226047002,901,0.67037,0.63559,0.0275185901688386,-0.0111725754869068,2.988
"36",425794,"Adam Wainwright",2016,3118,0.08178,0.09602,-0.0138652474229146,911,0.20856,0.27616,-0.0606988595972791,1481,0.61242,0.63379,-0.0230145968837164,-0.0515495101364773,2.89
"37",425794,"Adam Wainwright",2017,2090,0.07321,0.09864,-0.0251567522973317,622,0.2299,0.30453,-0.0448448148795586,992,0.63004,0.65263,-0.0231253581325775,-0.0468762090443129,2.983
"38",425794,"Adam Wainwright",2019,2750,0.07818,0.10128,-0.0264384302426487,759,0.20026,0.30225,-0.0663084170583237,1342,0.59911,0.63705,-0.0503043366932397,-0.0424425106077328,3.024
"39",425840,"Neal Cotts",2015,1129,0.09743,0.097,0.00275928811077977,525,0.2781,0.24476,0.0128283461584151,556,0.67806,0.60732,0.0452145185993966,-0.0296268843302017,2.832
"40",425844,"Zack Greinke",2015,3277,0.11871,0.115,0.0022169935461915,1182,0.29949,0.28969,-0.00610962681747588,1422,0.68143,0.64752,0.0223831426546086,-0.026275775925893,3.096
"41",425844,"Zack Greinke",2016,2503,0.10427,0.12716,-0.0212995895906683,834,0.32614,0.32703,-0.00508183268942114,1121,0.65745,0.631,0.0158855457318887,-0.0422669680119782,3.365
"42",425844,"Zack Greinke",2017,3103,0.1244,0.13087,-0.00862639154373567,845,0.29231,0.33604,-0.0187620126826634,1395,0.62509,0.63563,-0.0181668074116315,-0.00922159681476758,3.424
"43",425844,"Zack Greinke",2018,3222,0.10801,0.12531,-0.0175017054936452,986,0.30832,0.34219,-0.0127425903652002,1430,0.62448,0.63811,-0.0211462774593765,-0.00909801839946893,3.388
"44",425844,"Zack Greinke",2019,3202,0.10681,0.12544,-0.0228585052875913,1064,0.31579,0.35007,-0.00154816242443205,1437,0.63396,0.65392,-0.0238849909494159,-0.00052167676260749,3.392
"45",429717,"Dan Haren",2015,2935,0.06167,0.08512,-0.023524801469065,731,0.26813,0.28619,-0.0301696904140643,1413,0.62703,0.62742,-0.0112269156427082,-0.0424675762404211,2.83
"46",429719,"Edwin Jackson",2016,1401,0.09422,0.10516,-0.00883534139187029,455,0.21538,0.25962,-0.0299346307887899,688,0.64971,0.62024,0.0243108795704727,-0.0630808517511329,2.941
"47",429719,"Edwin Jackson",2017,1400,0.10214,0.1058,-0.00452870750702715,434,0.2235,0.28834,-0.0407100654337597,708,0.67797,0.63648,0.0215998188171232,-0.0668385917579101,3.021
"48",429719,"Edwin Jackson",2018,1480,0.08716,0.10173,-0.0134510003233297,484,0.26446,0.28489,-0.0052800901045668,662,0.70544,0.64479,0.0388194654857604,-0.0575505559136569,2.957
"49",429719,"Edwin Jackson",2019,1315,0.09962,0.10204,-0.00615451627703576,440,0.19773,0.25439,-0.0311108457844069,610,0.71148,0.66466,0.0295883376129064,-0.066853699674349,2.826
"50",429722,"Ervin Santana",2015,1663,0.09681,0.10948,-0.00718896048169613,458,0.23581,0.27811,-0.0455278939992298,782,0.66113,0.63663,0.0174361708114326,-0.0701530252923585,3.02
"51",429722,"Ervin Santana",2016,2919,0.09832,0.12005,-0.0209175513121081,812,0.26724,0.30107,-0.0471924073752856,1302,0.67358,0.63359,0.0289087430817421,-0.0970187017691359,3.204
"52",429722,"Ervin Santana",2017,3131,0.10284,0.11936,-0.0166033803036663,843,0.33571,0.30217,0.0312559867685614,1479,0.68627,0.63402,0.0314934224501146,-0.0168408159852195,3.201
"53",430580,"Alfredo Simon",2015,3057,0.07982,0.09505,-0.00947362903248979,897,0.32999,0.26751,0.0498205939744596,1500,0.65333,0.65031,0.00233306751396426,0.0380138974280056,2.826
"54",430580,"Alfredo Simon",2016,1114,0.07361,0.09005,-0.0152823294461168,315,0.30794,0.26222,0.0380401259395069,518,0.66988,0.65471,0.00627541713492343,0.0164823793584667,2.754
"55",430599,"Joe Blanton",2015,1185,0.12827,0.11942,0.00532416341671646,391,0.34015,0.29642,0.0207775029967803,528,0.66288,0.6359,0.00550460324599212,0.0205970631675046,3.179
"56",430641,"Blaine Boyer",2016,1051,0.0628,0.09606,-0.0274607464551911,305,0.33115,0.28036,0.0383551651797538,551,0.71143,0.63456,0.0494704097393532,-0.0385759910147905,2.904
"57",430661,"Dustin McGowan",2017,1178,0.11375,0.10892,0.000382365732833855,376,0.35372,0.2818,0.0606047100539602,519,0.70328,0.62426,0.0472182257737979,0.0137688500129962,3.047
"58",430912,"Matt Cain",2016,1568,0.08673,0.11607,-0.0277037897079005,518,0.2471,0.27023,-0.0221686403477673,759,0.64427,0.65342,-0.00647685125238394,-0.0433955788032839,3.03
"59",430912,"Matt Cain",2017,2037,0.04958,0.10171,-0.050757090203286,639,0.25352,0.28865,-0.0197315540284037,1014,0.63116,0.64404,-0.0201427907647901,-0.0503458534668996,2.971
"60",430935,"Cole Hamels",2015,3326,0.1341,0.10455,0.0248179887941503,1255,0.28765,0.26196,-0.0008008077148399,1638,0.68132,0.66662,0.00264708900895482,0.0213700920703556,2.872
"61",430935,"Cole Hamels",2016,3164,0.122,0.10216,0.0167752098614102,1259,0.31851,0.27403,0.031414525159391,1434,0.66109,0.64629,0.00320436028013716,0.0449853747406641,2.922
"62",430935,"Cole Hamels",2017,2326,0.09759,0.10033,-0.000593154964033983,876,0.24429,0.27343,-0.0202267745689567,1112,0.67896,0.65714,0.00474350457230708,-0.0255634341052978,2.886
"63",430935,"Cole Hamels",2018,3160,0.1212,0.10609,0.013760025736442,1193,0.25482,0.26744,-0.00636373765838468,1486,0.68506,0.66258,0.00466103388434736,0.00273525419370997,2.912
"64",430935,"Cole Hamels",2019,2294,0.11901,0.10778,0.00848988688972814,829,0.22678,0.29861,-0.0461375194499212,1090,0.68073,0.66432,0.0156466588485836,-0.0532942914087767,3.032
"65",431148,"Scott Kazmir",2015,2959,0.10341,0.09097,0.0151014703599348,1108,0.29422,0.26076,0.0165187863197432,1433,0.66713,0.65244,0.0128873870412305,0.0187328696384475,2.761
"66",431148,"Scott Kazmir",2016,2391,0.09536,0.09136,0.00268686305355192,944,0.24788,0.25282,-0.0152332347806941,1153,0.63747,0.65606,-0.0154187251514072,0.00287235342426506,2.732
"67",432934,"Chris Young",2015,2016,0.09573,0.11381,-0.00971841067456838,661,0.22239,0.26326,-0.0438685471081887,956,0.64435,0.63949,0.00341204780739894,-0.056999005590156,3.006
"68",432934,"Chris Young",2016,1713,0.11325,0.11934,-0.0032174211648597,593,0.20911,0.23115,-0.0184432427617944,782,0.65601,0.63065,0.0205568316737232,-0.0422174956003773,2.962
"69",433579,"John Danks",2015,3077,0.09002,0.10751,-0.00967509211255798,1048,0.24618,0.2754,-0.0406935764646433,1545,0.67443,0.65315,0.0181766175240291,-0.0685452861012303,2.967
"70",433584,"Roberto Hernandez",2015,1340,0.06269,0.10709,-0.0363406851084779,431,0.36659,0.30154,0.0457038833010763,593,0.6172,0.64263,-0.0175976700276315,0.0269608682202299,3.069
"71",433587,"Felix Hernandez",2015,3066,0.10796,0.11291,0.00299195857307808,1113,0.3504,0.29337,0.0374588507529681,1359,0.62399,0.64391,-0.010847388996929,0.0512981983229751,3.094
"72",433587,"Felix Hernandez",2016,2411,0.09706,0.11343,-0.0123167611579323,774,0.323,0.30976,0.00640384124234536,1067,0.64667,0.63448,0.00401640267442616,-0.00992932259001315,3.17
"73",433587,"Felix Hernandez",2017,1381,0.09486,0.11877,-0.0197748305797441,408,0.34559,0.36476,-0.00706847816632664,661,0.6475,0.64308,-0.000966958730674454,-0.0258763500153963,3.395
"74",433587,"Felix Hernandez",2018,2551,0.08193,0.11052,-0.0289749732111401,706,0.28754,0.29665,0.00644824144639969,1203,0.64256,0.62523,0.00205212979084373,-0.0245788615555841,3.111
"75",433587,"Felix Hernandez",2019,1216,0.08635,0.10641,-0.0175410196375636,314,0.25159,0.28403,-0.00317140249965145,586,0.62287,0.62805,-0.00123233695690322,-0.0194800851803119,3.025
"76",433589,"Yusmeiro Petit",2015,1151,0.09731,0.10449,-0.0104000760080637,325,0.31385,0.281,0.0110082089725338,577,0.67418,0.61565,0.0346209848765154,-0.0340128519120453,3.015
"77",433589,"Yusmeiro Petit",2017,1383,0.11063,0.10119,0.0105677062619521,409,0.30318,0.35339,-0.0283212142179106,635,0.69449,0.65975,0.0211729619046195,-0.038926469860578,3.164
"78",433589,"Yusmeiro Petit",2018,1308,0.08945,0.10193,-0.0118474278207241,385,0.28831,0.34003,-0.0306785345840666,651,0.70046,0.65588,0.0281518131862462,-0.0706777755910369,3.131
"79",433589,"Yusmeiro Petit",2019,1212,0.11139,0.09481,0.0141349620896997,368,0.32065,0.34988,-0.00241444203237706,576,0.71528,0.6624,0.0369080873057365,-0.0251875672484138,3.087
"80",434378,"Justin Verlander",2015,2159,0.10005,0.11263,-0.00450086786345536,712,0.30758,0.28748,0.00787267800862089,1089,0.67309,0.6586,0.0159941850558202,-0.0126223749106547,3.049
"81",434378,"Justin Verlander",2016,3620,0.12155,0.11341,0.00668276162000913,1230,0.33902,0.30531,0.0315906050898414,1784,0.67825,0.65888,0.00976337110043267,0.0285099956094178,3.117
"82",434378,"Justin Verlander",2017,3385,0.10694,0.11272,-0.00358470979139639,1017,0.30482,0.31329,0.000344407581281171,1709,0.68461,0.67351,-0.00223100004364773,-0.00100930216646748,3.115
"83",434378,"Justin Verlander",2018,3453,0.14422,0.11818,0.0229001169406889,849,0.34982,0.33743,0.025586042126679,1878,0.67519,0.67794,-0.0113139805726801,0.059800139640048,3.243
"84",434378,"Justin Verlander",2019,3213,0.16122,0.13164,0.0252937125435291,795,0.32956,0.32345,0.0374858027128172,1660,0.67831,0.67298,0.00602796606132878,0.0567515491950175,3.331
"85",434538,"Francisco Liriano",2015,2986,0.14401,0.11451,0.0249253370747939,1281,0.27791,0.26781,-0.0142494195192762,1233,0.62855,0.63573,-0.0165971648414496,0.0272730823969673,3.034
"86",434538,"Francisco Liriano",2016,2715,0.11308,0.10765,0.00209315752873498,1089,0.25895,0.26134,-0.0154570782101822,1157,0.6102,0.62802,-0.0191343990421562,0.00577047836070893,2.959
"87",434538,"Francisco Liriano",2017,1740,0.0954,0.10266,-0.00829712196150491,706,0.22521,0.26258,-0.0277019366531062,775,0.61161,0.62314,-0.0183123199156919,-0.0176867386989192,2.923
"88",434538,"Francisco Liriano",2018,2324,0.10069,0.10725,-0.00809579098065086,918,0.21786,0.2611,-0.0354001185185328,997,0.63089,0.6125,0.00679174872570985,-0.0502876582248935,2.978
"89",434538,"Francisco Liriano",2019,1194,0.13987,0.11078,0.0221304892685591,518,0.26062,0.28059,-0.0037554517619561,547,0.67093,0.64651,0.00780779717939485,0.0105672403272082,3.026
